Карачаево-Черкесская Республика,18076.206,21553.577,22184.162,19647.62,20554.804,21032.291,22686.265,23828.007,22732.312,32340.805,35412.962,28913.518
Республика Северная Осетия-Алания,21851.073,28808.049,31000.858,25456.909,25533.112,27238.706,31434.687,33887.177,31172.07,35785.53,43161.568,43499.188
Чеченская Республика,54400.333,44622.826,57448.229,58844.024,60542.672,64387.154,74367.802,79776.629,76462.809,83282.329,118560.284,163377.912
Ставропольский край,115318.298,130631.566,143061.16,126250.337,122948.795,140061.938,158229.87,196247.464,232377.07,254163.851,286449.028,334690.396
Республика Башкортостан,233683.163,266395.944,283544.955,317764.293,355109.264,278591.607,267929.064,337710.768,380766.235,422571.607,519533.643,620014.414
Республика Марий Эл,31656.476,46177.947,47228.018,40331.689,27265.485,24029.203,27321.044,27500.514,35784.059,38255.592,42491.319,52228.472
Республика Мордовия,49824.717,53713.726,47484.621,52750.737,52629.216,58535.192,52309.46,53072.645,47033.079,50775.468,59855.829,74093.751
Республика Татарстан,470751.456,525730.446,542781.13,617128.115,636494.114,637611.686,629731.027,640837.132,615593.41,689232.352,888648.777,1180447.878
Республика Удмуртия,64220.773,82678.484,91571.158,81846.417,87128.696,83705.585,96978.855,105780.533,120463.135,125354.258,144341.401,166321.855
Чувашская Республика,65254.602,60121.546,53457.294,55725.346,50139.921,52365.463,56433.748,65416.824,55858.411,63872.138,98862.809,123375.548
Пермский край,162241.009,219493.881,207597.148,226213.577,239389.883,245139.59,243613.003,283775.714,281563.227,307972.875,378356.578,481409.9669
Кировская область,50544.976,58655.055,61447.798,55759.53,57001.131,57860.714,59508.269,72234.217,67878.934,77176.513,90409.624,106235.816
Нижегородская область,257454.147,280884.135,276819.858,235066.687,232010.366,245268.036,259392.868,295252.211,370871.737,384491.118,467617.439,686929.826
Оренбургская область,151250.162,152876.949,153978.898,169243.338,167278.542,184877.171,208105.119,212039.44,201333.41,201912.543,241654.653,293410.436
Пензенская область,72342.94,82164.272,82079.484,89042.065,64945.495,72050.12,87106.024,89372.635,94531.453,97902.251,105671.018,121807.795
Самарская область,213021.847,269736.529,321759.505,302884.212,256775.988,259544.251,264988.744,293732.013,308525.397,386809.06,453920.257,516568.138
Саратовская область,117645.774,125833.739,137421.292,140128.718,141337.313,145163.596,154864.095,162120.283,167077.948,173755.24,208564.673,286539.594
